identity,expression,ensx_se,ensx_exsx,se_prn,se_alsx,prn_alsx,ensx_alsx,prn_sn,alsx_sn,ensx_prn
bs000,N,2.5527,0.8252,1.9227,1.654,0.7076,1.0,0.8535,0.7499,1.2416
bs001,N,2.709,0.7253,1.8919,1.7736,0.6779,1.0,0.7618,0.7178,1.3075
bs002,N,2.8795,0.8249,2.1162,1.9591,0.8792,1.0,1.0111,0.9342,1.4778
bs003,N,2.666,0.869,2.005,1.7852,0.714,1.0,0.8721,0.7648,1.2808
bs004,N,2.5697,0.771,1.8046,1.6254,0.6631,1.0,0.7468,0.6264,1.2901
bs005,N,2.95,0.7878,2.355,2.0007,1.0072,1.0,1.1737,1.0072,1.363
bs006,N,2.7026,0.7786,1.9411,1.8305,0.6311,1.0,0.842,0.7877,1.2757
bs007,N,2.7159,0.8272,1.9069,1.8359,0.7139,1.0,0.88,0.9138,1.3574
bs008,N,2.7569,0.7951,2.072,1.8205,0.8314,1.0,0.874,0.7774,1.3148
bs009,N,2.8862,0.8696,2.2321,2.0634,0.7506,1.0,0.9576,0.8732,1.4222
bs010,N,2.8558,0.7692,2.2015,1.9835,0.7503,1.0,0.9154,0.8253,1.3663
bs011,N,2.4938,0.7913,1.9146,1.6465,0.6097,1.0,0.8317,0.6992,1.1649
bs012,N,2.8456,0.7785,2.2209,1.9215,0.7921,1.0,0.8116,0.8095,1.2626
bs013,N,2.866,1.049,2.2243,1.9925,0.689,1.0,0.9062,0.7839,1.2573
bs014,N,2.6063,0.8368,2.0509,1.807,0.6226,1.0,0.7775,0.6225,1.2571
bs015,N,2.5021,0.7109,1.9566,1.626,0.5864,1.0,0.7806,0.542,1.1296
bs016,N,2.727,0.6991,2.0606,1.9232,0.7342,1.0,0.7583,0.7654,1.2836
bs017,N,2.6759,0.6701,1.9836,1.9105,0.5396,1.0,0.7602,0.7766,1.3351
bs018,N,2.7658,0.7681,2.2223,1.9298,0.6453,1.0,0.7355,0.675,1.21
bs019,N,2.7503,0.7044,1.9105,1.9011,0.646,1.0,0.696,0.7694,1.3971
bs020,N,2.7843,0.9435,2.1854,1.8862,0.7414,1.0,0.8724,0.7573,1.1848
bs021,N,2.8707,0.7272,2.1034,2.0834,0.5526,1.0,0.6946,0.8505,1.3507
bs022,N,2.7777,0.8301,2.2825,1.9872,0.6352,1.0,0.7205,0.6579,1.2453
bs023,N,3.1007,0.9202,2.1353,2.1652,0.8314,1.0,0.9429,1.0749,1.485
bs024,N,2.5968,0.7243,2.0623,1.7135,0.6659,1.0,0.7662,0.6232,1.1861
bs025,N,2.7885,0.7748,2.2024,1.9214,0.7503,1.0,0.77,0.7299,1.26
bs026,N,2.8637,0.8355,2.3341,2.0486,0.6448,1.0,0.7639,0.6619,1.1863
bs027,N,2.9999,0.751,2.446,2.0928,0.8477,1.0,0.8743,0.7807,1.2562
bs028,N,2.6033,0.7613,1.881,1.6616,0.6821,1.0,0.6391,0.6135,1.2169
bs029,N,2.8904,0.9387,2.2311,2.0434,0.5784,1.0,0.7989,0.7118,1.1823
bs030,N,2.768,0.8661,2.0601,1.843,0.7834,1.0,0.8769,0.8392,1.2863
bs031,N,2.6061,0.7055,1.9978,1.6853,0.6328,1.0,0.814,0.6083,1.1491
bs032,N,2.7886,0.7088,2.2271,1.9647,0.7374,1.0,0.8787,0.7464,1.3959
bs033,N,2.8071,0.6274,2.0378,1.8823,0.727,1.0,0.7419,0.7599,1.3702
bs034,N,2.7181,0.8369,2.1242,1.8343,0.7078,1.0,0.8037,0.6968,1.2639
bs035,N,3.0434,0.7683,2.4052,2.1133,0.9204,1.0,0.872,0.8623,1.362
bs036,N,2.7954,0.7847,2.0909,1.9921,0.5639,1.0,0.7909,0.8626,1.194
bs037,N,2.454,0.8179,1.7669,1.6502,0.5889,1.0,0.7749,0.7009,1.3263
bs038,N,2.7421,0.7601,2.2744,1.8995,0.6824,1.0,0.8497,0.6149,1.2679
bs039,N,2.4443,0.7294,1.8756,1.6486,0.6206,1.0,0.9102,0.7333,1.2209
bs040,N,2.7363,0.7892,1.9373,1.919,0.6168,1.0,0.8331,0.8044,1.3929
bs041,N,2.3486,0.6787,1.6437,1.4754,0.5044,1.0,0.713,0.624,1.1857
bs042,N,2.5824,0.689,1.9173,1.7694,0.7106,1.0,0.7559,0.753,1.3842
bs043,N,2.8489,0.9077,2.0757,1.9524,0.6544,1.0,0.8587,0.7923,1.277
bs044,N,2.4997,0.8062,1.7488,1.6213,0.6377,1.0,0.7714,0.784,1.2655
bs045,N,2.6274,0.7418,1.9762,1.8078,0.5483,1.0,0.7753,0.7132,1.2265
bs046,N,2.6239,0.7988,1.9616,1.7075,0.7419,1.0,0.8274,0.8022,1.2261
bs047,N,2.8295,0.8385,1.9411,1.9645,0.5801,1.0,0.6839,0.8481,1.3455
bs048,N,2.6081,0.7033,1.9762,1.7932,0.5778,1.0,0.7537,0.6971,1.2493
bs049,N,3.0258,0.8291,2.3332,2.0479,0.9203,1.0,0.8906,0.9074,1.2958
bs050,N,2.721,0.7321,1.8159,1.7655,0.8965,1.0,0.745,0.7508,1.4747
bs051,N,2.6945,0.7707,1.8414,1.7573,0.8075,1.0,0.7401,0.7607,1.4358
bs052,N,2.8478,0.7855,2.1719,1.9904,0.6115,1.0,0.8682,0.7552,1.3196
bs053,N,2.2931,0.6701,1.6856,1.5431,0.5152,1.0,0.7275,0.6398,1.2935
bs054,N,2.5064,0.7484,1.7407,1.7214,0.5887,1.0,0.6821,0.6927,1.4076
bs055,N,2.935,0.7172,1.9823,2.0362,0.7668,1.0,0.7632,0.8781,1.5446
bs056,N,3.0807,1.187,2.3196,2.1871,0.9702,1.0,0.7061,0.9539,1.5567
bs057,N,2.7675,0.8439,1.9819,1.847,0.7036,1.0,0.8413,0.7413,1.351
bs058,N,2.5307,0.6874,1.8217,1.6254,0.7193,1.0,0.6619,0.653,1.3276
bs059,N,2.4722,0.7522,1.5683,1.6099,0.7129,1.0,0.6047,0.6968,1.4497
bs060,N,2.5266,0.8133,1.7664,1.5645,0.7485,1.0,0.7724,0.7326,1.2588
bs061,N,2.3989,0.8589,1.5623,1.4993,0.7096,1.0,0.7263,0.6376,1.3717
bs062,N,2.6497,0.9086,2.1053,1.6785,0.87,1.0,0.9271,0.6707,1.1179
bs063,N,2.7262,0.8825,2.0887,1.7819,0.7295,1.0,0.7538,0.6768,1.2424
bs064,N,2.631,0.7966,1.8388,1.6978,0.8777,1.0,0.8168,0.7744,1.3878
bs065,N,2.6925,0.9032,2.0037,1.7407,0.8367,1.0,0.896,0.8058,1.2314
bs066,N,2.6084,0.8503,1.9673,1.8065,0.6192,1.0,0.8733,0.6836,1.329
bs067,N,3.2049,0.8483,2.2079,2.3487,0.794,1.0,0.7599,0.9976,1.5823
bs068,N,2.9608,1.0045,2.1264,2.0713,0.9432,1.0,0.9932,0.9877,1.5115
bs069,N,2.5392,0.7608,1.865,1.6942,0.5613,1.0,0.764,0.7188,1.2093
bs070,N,2.5076,0.9197,1.4148,1.5921,0.6653,1.0,0.4959,0.782,1.4288
bs071,N,2.4643,0.7807,1.8506,1.532,0.7275,1.0,0.7768,0.6194,1.1987
bs072,N,2.9179,0.896,2.1591,1.9898,0.8399,1.0,0.8536,0.8365,1.3749
bs073,N,2.6676,0.7846,1.7964,1.7721,0.6061,1.0,0.6978,0.7866,1.2393
bs074,N,2.4062,0.7244,1.636,1.5201,0.663,1.0,0.6747,0.6709,1.2662
bs075,N,2.9761,0.7387,2.2371,2.0335,1.125,1.0,0.9734,1.017,1.5274
bs076,N,2.6605,0.7132,1.66,1.7525,0.6474,1.0,0.5759,0.7304,1.4036
bs077,N,2.4788,0.6902,1.7804,1.629,0.5384,1.0,0.7678,0.637,1.2903
bs078,N,2.3986,0.8067,1.755,1.5522,0.6355,1.0,0.758,0.696,1.2937
bs079,N,2.8933,0.7596,2.0824,2.0232,0.7727,1.0,0.9117,0.9987,1.3793
bs080,N,3.5287,1.0027,2.48,2.5782,1.0656,1.0,0.8605,1.1073,1.5744
bs081,N,2.5122,0.6856,1.8386,1.7182,0.7071,1.0,0.6352,0.7145,1.4073
bs082,N,2.7464,0.8041,2.0192,1.8632,0.672,1.0,0.7974,0.6998,1.2946
bs083,N,2.8661,0.8277,2.1857,1.9501,0.8116,1.0,0.8638,0.7272,1.3627
bs084,N,2.6616,0.7688,2.0699,1.7837,0.731,1.0,0.8465,0.7341,1.2155
bs085,N,2.6937,0.6332,2.0089,1.8251,0.6937,1.0,0.7261,0.6389,1.342
bs086,N,2.6477,0.7534,2.1436,1.8438,0.6839,1.0,0.8723,0.768,1.1818
bs087,N,2.5918,0.6598,1.9729,1.7934,0.6586,1.0,0.6644,0.7422,1.2529
bs088,N,2.6142,0.6501,1.8499,1.6592,0.6276,1.0,0.743,0.6315,1.1927
bs089,N,2.6802,0.6504,1.9673,1.8352,0.5396,1.0,0.7681,0.6822,1.2878
bs090,N,2.7714,0.714,2.1972,1.959,0.6563,1.0,0.8624,0.7408,1.3385
bs091,N,2.7866,0.6676,2.2165,1.9666,0.7204,1.0,0.8698,0.7575,1.3411
bs092,N,2.5916,0.739,1.9257,1.7461,0.7447,1.0,0.6987,0.7263,1.3791
bs093,N,2.7765,0.7983,2.2045,1.9416,0.7112,1.0,0.8547,0.7768,1.2665
bs094,N,2.5542,0.6798,2.0508,1.8323,0.5779,1.0,0.8686,0.7297,1.2984
bs095,N,2.957,0.7709,2.5136,2.1013,0.8067,1.0,1.0401,0.9029,1.1588
bs096,N,2.7268,0.7608,2.2909,1.955,0.6469,1.0,0.8544,0.6593,1.2568
bs097,N,2.9782,0.7108,2.3592,2.057,0.7274,1.0,0.9824,0.7831,1.1831
bs098,N,2.9315,0.7719,2.1538,2.0392,0.7689,1.0,0.8204,0.8618,1.3236
bs099,N,2.979,0.7558,2.2847,2.0755,0.85,1.0,0.8871,0.845,1.3369
bs100,N,2.9116,0.8082,2.278,2.0087,0.7728,1.0,0.8741,0.7424,1.2416
bs101,N,2.8271,0.6736,2.2936,2.0257,0.622,1.0,0.854,0.7618,1.195
bs102,N,2.3676,0.6448,1.7852,1.56,0.6247,1.0,0.7107,0.6613,1.2267
bs103,N,2.6433,0.7955,1.8345,1.7292,0.6784,1.0,0.7281,0.7117,1.2868
bs104,N,2.7072,0.7628,1.9798,1.7982,0.6522,1.0,0.8519,0.7437,1.2186
