identity,expression,filename,exL_x,exL_y,exL_z,mebL_x,mebL_y,mebL_z,enL_x,enL_y,enL_z,enR_x,enR_y,enR_z,mebR_x,mebR_y,mebR_z,exR_x,exR_y,exR_z,seL_x,seL_y,seL_z,seR_x,seR_y,seR_z,alL_x,alL_y,alL_z,prn_x,prn_y,prn_z,alR_x,alR_y,alR_z,chL_x,chL_y,chL_z,ls_x,ls_y,ls_z,chR_x,chR_y,chR_z,li_x,li_y,li_z,sto_x,sto_y,sto_z,sl_x,sl_y,sl_z,gn_x,gn_y,gn_z
bs000,N,bs000_N_N_0.lm3,-68.149,2.302,-0.044,-67.122,26.627,10.564,-35.78,3.139,7.22,-5.602,5.585,5.808,19.265,28.437,10.467,25.768,8.718,-3.868,-24.876,-1.146,25.107,-12.24,-0.44,25.053,-33.72,-28.233,27.747,-17.028,-19.585,44.547,0.66,-28.462,19.89,-41.479,-61.834,16.571,-17.177,-51.158,32.953,9.756,-59.513,14.225,-15.711,-55.75,30.27,-14.999,-57.341,29.044,-14.181,-64.044,30.983,-15.49,-93.772,25.511
bs000,N,bs000_N_N_1.lm3,-76.65,0.785,4.247,-70.813,25.732,16.92,-44.342,0.822,10.393,-13.332,2.394,10.501,11.37,24.498,17.261,16.988,4.063,4.705,-34.054,-4.165,26.905,-21.293,-4.091,30.216,-43.749,-34.32,29.18,-25.327,-24.735,48.257,-8.509,-34.411,21.369,-52.972,-65.528,19.871,-24.714,-56.384,35.806,-0.34,-65.481,18.362,-25.47,-60.957,34.337,-25.563,-64.824,31.757,-25.513,-68.491,33.352,-27.783,-98.224,26.691
bs001,N,bs001_N_N_0.lm3,-44.362,23.446,31.783,-37.526,38.391,35.449,-15.995,22.809,28.598,16.114,22.081,27.987,36.212,39.243,33.472,45.748,22.374,17.463,-2.323,13.013,48.402,7.265,13.809,47.182,-14.841,-13.715,43.233,1.448,-10.155,64.066,18.487,-15.72,43.749,-22.374,-43.642,34.363,0.668,-36.442,49.653,26.976,-42.94,34.204,0.669,-41.672,48.229,0.673,-44.001,45.402,0.659,-51.451,47.164,2.526,-81.326,42.162
bs002,N,bs002_N_N_0.lm3,-101.838,20.016,-110.872,-97.66,45.169,-107.175,-67.193,21.65,-105.628,-33.919,22.685,-108.326,-8.415,45.549,-110.433,-0.186,18.51,-120.921,-58.642,13.509,-76.6,-45.481,13.666,-70.495,-69.46,-15.424,-84.921,-52.139,-8.417,-52.535,-33.21,-15.414,-89.845,-74.081,-54.354,-86.623,-50.18,-47.222,-70.945,-21.771,-53.756,-92.543,-49.502,-50.59,-74.048,-49.492,-52.922,-73.382,-49.488,-56.83,-72.608,-48.509,-95.458,-75.107
bs003,N,bs003_N_N_0.lm3,-48.693,35.278,129.552,-40.01,62.289,137.051,-14.957,33.188,134.884,19.11,35.502,130.591,42.023,63.951,136.464,53.059,37.69,121.058,-2.948,26.779,154.609,8.672,26.796,156.89,-14.124,-2.16,152.211,4.683,5.034,171.828,22.799,-0.804,141.462,-23.703,-32.415,133.922,4.851,-25.282,155.705,30.068,-30.966,131.893,4.782,-30.226,150.774,5.511,-33.134,147.413,4.785,-39.413,146.316,5.644,-69.238,145.076
bs004,N,bs004_N_N_0.lm3,-65.552,-2.458,-88.033,-56.977,21.478,-74.354,-32.898,0.854,-77.672,-0.188,-0.727,-77.752,18.907,19.326,-71.536,30.35,-3.991,-89.334,-22.091,-7.58,-52.379,-11.775,-7.546,-47.748,-32.229,-36.989,-54.004,-17.281,-27.745,-30.187,0.841,-36.617,-48.597,-41.942,-68.764,-58.862,-18.625,-58.629,-42.664,6.726,-70.251,-58.173,-17.039,-63.381,-44.138,-17.077,-65.847,-47.776,-18.555,-72.8,-44.027,-19.086,-107.372,-42.246
bs005,N,bs005_N_N_0.lm3,-42.855,44.315,70.496,-40.526,66.746,77.266,-13.775,46.387,80.772,24.561,48.684,82.716,48.986,68.064,85.253,53.753,48.227,74.742,0.091,48.4,97.499,12.891,48.035,100.85,-11.205,8.866,101.027,7.397,21.643,127.915,28.065,12.611,108.612,-18.744,-27.749,95.589,10.564,-16.486,112.779,34.948,-23.228,94.399,12.738,-20.117,110.032,8.44,-21.609,106.656,8.542,-27.117,112.833,5.686,-70.247,100.143
bs005,N,bs005_N_N_1.lm3,-59.531,29.648,83.757,-51.346,50.914,92.817,-29.005,30.998,88.658,8.401,32.477,88.001,31.049,53.006,95.547,36.486,32.439,83.857,-16.718,27.75,107.001,-3.76,27.677,112.544,-28.718,-6.355,100.821,-9.668,7.393,132.659,11.373,-4.719,111.955,-31.288,-43.663,97.365,-7.459,-35.767,116.585,20.864,-41.496,95.746,-6.943,-39.716,109.24,-6.928,-42.417,112.536,-6.908,-47.336,113.054,-4.578,-80.987,105.781
bs006,N,bs006_N_N_0.lm3,-71.688,4.878,118.309,-65.348,25.15,134.408,-41.706,5.006,125.922,-10.263,5.638,124.477,9.932,28.204,135.894,20.762,8.56,118.223,-30.819,-0.247,146.199,-18.485,-0.345,145.524,-41.713,-29.484,145.639,-24.195,-24.829,162.96,-5.075,-30.599,148.004,-48.46,-62.54,132.381,-23.582,-54.86,148.234,5.361,-61.017,133.641,-24.338,-58.516,145.422,-23.675,-60.73,143.412,-23.549,-68.074,147.139,-20.718,-99.024,142.224
bs007,N,bs007_N_N_0.lm3,-43.756,24.705,87.61,-40.536,44.045,101.747,-11.854,24.203,95.938,21.65,24.213,97.339,43.654,47.755,104.272,52.085,25.731,88.036,-2.565,20.398,115.201,10.843,20.5,117.502,-14.99,-11.261,113.865,3.474,-9.446,135.441,23.939,-11.85,118.067,-20.866,-45.837,101.99,4.174,-41.404,121.001,30.679,-44.241,101.356,4.163,-45.117,117.574,4.867,-46.531,117.465,5.649,-51.976,118.937,5.171,-81.569,111.496
