identity,expression,filename,dist_ensx_se,dist_ensx_prn,dist_se_prn,dist_se_ls,dist_prn_ls,dist_alL_alR,dist_cheilion_sx_cheilion_dx,dist_ensx_exsx,dist_ensdx_exdx,dist_exsx_exdx,dist_ensx_ensdx,area_ensx_exsx_exdx,area_prn_alL_alR,area_cheilion_sx_cheilion_dx_ls,area_ensx_ensdx_prn,area_se_prn_alL,area_se_prn_alR,volume_ensx_prn_alL_alR,volume_ensx_exsx_exdx_prn,volume_ensx_ensdx_se_prn,volume_exsx_exdx_alL_alR,facial_area
bs000,N,bs000_N_N_0.lm3,0.7055,1.5689,0.9211,1.6894,1.1097,1.1636,1.6939,1.0948,1.088,3.1083,1.0,0.5983,0.5654,0.749,1.0,0.4665,0.6328,3.806,1.924,1.0,3.6012,4.012
bs000,N,bs000_N_N_1.lm3,0.6468,1.5936,0.9954,1.7323,1.0955,1.1625,1.6958,1.0592,0.9956,3.0176,1.0,0.3979,0.6189,0.7003,1.0,0.5503,0.6971,4.9484,1.5273,1.0,4.254,3.9645
bs001,N,bs001_N_N_0.lm3,0.8088,1.6022,0.8785,1.5429,0.9336,1.0395,1.5364,0.8888,0.979,2.8405,1.0,0.0787,0.4527,0.5343,1.0,0.4428,0.4852,2.7006,0.2851,1.0,1.6809,2.9937
bs002,N,bs002_N_N_0.lm3,0.9383,1.8816,0.994,1.8437,1.2873,1.0953,1.5763,1.0503,1.0853,3.0587,1.0,0.4379,0.6198,0.4956,1.0,0.4812,0.6095,3.4566,2.5468,1.0,0.2094,3.644
bs003,N,bs003_N_N_0.lm3,0.6964,1.4654,0.8359,1.53,0.9978,1.1181,1.5641,0.9943,1.0266,2.9678,1.0,0.5244,0.5739,0.7612,1.0,0.4415,0.5951,3.1802,1.0645,1.0,2.458,3.8961
bs004,N,bs004_N_N_0.lm3,0.8785,1.7586,0.9273,1.5903,1.018,1.0233,1.487,1.051,1.0023,2.9291,1.0,0.6097,0.4264,0.519,1.0,0.4424,0.4531,3.1429,4.359,1.0,2.0508,3.4506
bs005,N,bs005_N_N_0.lm3,0.5674,1.49,1.0705,1.7548,1.07,1.0446,1.4016,0.8039,0.787,2.5168,1.0,0.4297,0.4973,0.5269,1.0,0.6435,0.5931,2.3848,1.4528,1.0,1.4865,3.6905
bs005,N,bs005_N_N_1.lm3,0.596,1.4302,0.8948,1.7334,1.2315,1.1122,1.3948,0.8265,0.7582,2.5656,1.0,0.2482,0.6279,0.5825,1.0,0.6038,0.56,4.2939,1.2357,1.0,3.7361,3.6224
bs006,N,bs006_N_N_0.lm3,0.7498,1.6098,0.9682,1.7511,1.0626,1.1667,1.7107,0.9826,1.0096,2.9389,1.0,0.4689,0.4097,0.5937,1.0,0.464,0.4995,1.8324,1.3562,1.0,0.1041,3.4358
bs007,N,bs007_N_N_0.lm3,0.6478,1.6136,1.0903,1.862,1.046,1.1678,1.538,0.9833,0.9501,2.8583,1.0,0.4578,0.4451,0.5885,1.0,0.5314,0.5647,1.7497,1.4299,1.0,0.7038,3.5875
bs008,N,bs008_N_N_0.lm3,0.5792,1.6741,1.1267,1.7891,1.1128,1.1339,1.5734,1.0124,0.9114,2.8692,1.0,0.4176,0.6717,0.5772,1.0,0.6248,0.7744,6.5807,2.5495,1.0,3.3286,4.0657
bs009,N,bs009_N_N_0.lm3,0.8417,1.6987,0.9974,1.7838,1.1438,1.1388,1.6771,1.0386,1.0288,3.0095,1.0,0.4581,0.4676,0.5941,1.0,0.4968,0.521,1.5764,1.1895,1.0,0.4754,3.5376
bs010,N,bs010_N_N_0.lm3,1.004,1.8627,0.9608,2.0122,1.3662,1.1185,1.8403,1.1585,1.1686,3.2654,1.0,0.5211,0.4695,0.6959,1.0,0.456,0.5274,2.3908,0.4757,1.0,0.1733,3.6699
bs010,N,bs010_N_N_1.lm3,0.9338,1.9665,1.1277,2.0364,1.3176,1.2797,1.7751,1.1071,1.1409,3.2047,1.0,0.2818,0.6533,0.6445,1.0,0.574,0.7225,3.0098,0.0756,1.0,0.9258,3.8761
bs011,N,bs011_N_N_0.lm3,0.6596,1.5631,0.9734,1.7792,1.116,1.0703,1.5867,1.0618,1.0198,3.0331,1.0,0.4352,0.4661,0.5851,1.0,0.5163,0.564,3.362,0.109,1.0,1.0328,3.5667
bs012,N,bs012_N_N_0.lm3,0.606,1.5143,0.9478,1.6618,0.9713,1.1432,1.6842,0.9549,1.0116,2.8825,1.0,0.5236,0.5766,0.748,1.0,0.5021,0.6993,6.7293,4.1451,1.0,4.4765,4.0496
bs012,N,bs012_N_N_1.lm3,0.5641,1.4697,0.9485,1.5407,0.8806,1.0663,1.6947,0.8975,0.8477,2.7201,1.0,0.3343,0.5056,0.7541,1.0,0.5792,0.5037,6.0674,2.8499,1.0,6.2072,3.6769
bs012,N,bs012_N_N_2.lm3,0.5902,1.4568,0.894,1.5514,0.9365,1.0258,1.643,0.8983,0.974,2.7723,1.0,0.4867,0.5123,0.8838,1.0,0.5258,0.5216,7.8483,5.3392,1.0,7.3024,3.9302
bs013,N,bs013_N_N_0.lm3,0.7503,1.4472,0.7138,1.4612,1.043,1.0516,1.6181,1.2074,1.1635,3.2537,1.0,0.9372,0.4534,0.7163,1.0,0.3558,0.4117,4.9184,4.4654,1.0,1.1686,3.8744
bs014,N,bs014_N_N_0.lm3,0.6959,1.8076,1.3253,2.0034,1.1181,1.1644,1.6196,1.2033,1.2265,3.3919,1.0,0.2795,0.5676,0.5602,1.0,0.665,0.8624,1.9622,0.8594,1.0,1.9539,3.9347
bs015,N,bs015_N_N_0.lm3,0.7974,1.6048,0.8722,1.664,1.1091,1.015,1.3584,1.01,1.0635,2.9744,1.0,0.5077,0.5388,0.527,1.0,0.4904,0.6211,3.5453,1.7641,1.0,2.2493,3.685
bs016,N,bs016_N_N_0.lm3,0.6374,1.5531,1.0326,1.6171,0.9175,1.3112,1.6632,0.8459,0.8727,2.6756,1.0,0.3806,0.6337,0.6121,1.0,0.5476,0.7109,2.4125,0.9789,1.0,1.9679,3.8849
bs017,N,bs017_N_N_0.lm3,0.6611,1.8315,1.4373,2.1334,1.0429,0.9928,1.5071,0.9193,0.957,2.8501,1.0,0.2341,0.3047,0.5205,1.0,0.5396,0.5758,0.8473,0.0403,1.0,0.2476,3.1747
bs018,N,bs018_N_N_0.lm3,0.675,1.5191,0.9353,1.6278,0.9234,0.9554,1.4796,0.9644,1.0224,2.9247,1.0,0.4487,0.3708,0.533,1.0,0.4929,0.435,2.157,1.1564,1.0,2.2505,3.2804
bs019,N,bs019_N_N_0 (1).lm3,0.428,1.642,1.3941,1.8177,0.8179,1.0962,1.495,0.8278,0.7841,2.5964,1.0,0.2075,0.3996,0.5439,1.0,0.5609,0.6861,1.7835,0.9942,1.0,1.0756,3.398
bs019,N,bs019_N_N_0.lm3,0.428,1.642,1.3941,1.8177,0.8179,1.0962,1.495,0.8278,0.7841,2.5964,1.0,0.2075,0.3996,0.5439,1.0,0.5609,0.6861,1.7835,0.9942,1.0,1.0756,3.398
bs020,N,bs020_N_N_0.lm3,0.294,1.2958,1.0475,1.656,0.9541,1.1279,1.5038,1.0319,0.9343,2.8922,1.0,0.6863,0.6681,0.6817,1.0,0.6456,0.8731,13.6916,8.0692,1.0,14.5848,4.5548
bs021,N,bs021_N_N_0.lm3,0.5514,1.7916,1.2805,1.9445,0.9213,1.053,1.5588,0.9647,1.0026,2.9341,1.0,0.2193,0.3054,0.6366,1.0,0.4129,0.508,2.0999,2.2295,1.0,0.5876,3.0822
bs022,N,bs022_N_N_0.lm3,0.449,1.5776,1.2725,1.824,0.9128,0.9864,1.5882,1.0517,1.0164,3.0145,1.0,0.4788,0.3772,0.658,1.0,0.628,0.602,2.2219,1.4963,1.0,0.6711,3.744
bs023,N,bs023_N_N_0.lm3,0.7521,1.6248,0.964,1.7687,1.0317,1.0945,1.4683,1.0068,1.046,2.996,1.0,0.4565,0.53,0.5261,1.0,0.4762,0.5637,2.1369,2.0587,1.0,0.8153,3.5525
bs024,N,bs024_N_N_0.lm3,0.5923,1.6051,1.2522,1.9998,1.0369,1.0016,1.5822,0.9801,1.021,2.9672,1.0,0.3732,0.4793,0.6962,1.0,0.7184,0.7147,1.7617,0.5506,1.0,0.6809,3.9818
bs025,N,bs025_N_N_0.lm3,0.8907,1.9522,1.1737,2.0369,1.193,1.3342,1.6527,1.2006,1.3807,3.4507,1.0,0.5195,0.7501,0.5645,1.0,0.707,0.8049,3.8445,2.2513,1.0,0.5722,4.346
bs025,N,bs025_N_N_1.lm3,0.6953,1.7693,1.1414,1.9178,1.1469,1.1293,1.6228,1.1161,0.9646,3.0575,1.0,0.3144,0.4983,0.5779,1.0,0.5935,0.6153,3.4078,1.4894,1.0,0.1796,3.5994
bs026,N,bs026_N_N_0.lm3,0.4461,1.5725,1.1903,1.824,1.0126,1.1227,1.65,1.1074,1.0574,3.1022,1.0,0.489,0.4727,0.7489,1.0,0.6523,0.6596,5.3171,3.0477,1.0,0.2613,4.0225
bs027,N,bs027_N_N_0.lm3,0.7184,1.6727,1.0529,1.8524,1.1641,1.2043,1.8852,1.0,1.0125,2.9985,1.0,0.2419,0.7194,0.7791,1.0,0.6777,0.73,3.8098,0.9318,1.0,0.3022,4.1481
bs028,N,bs028_N_N_0.lm3,0.4668,1.7098,1.3294,1.8975,0.898,1.053,1.35,1.0697,1.2288,3.2085,1.0,0.5222,0.527,0.4092,1.0,0.7301,0.7718,4.3652,3.0973,1.0,0.8293,3.9603
bs029,N,bs029_N_N_0.lm3,0.5117,1.7974,1.4333,2.2755,1.2145,1.3355,1.9137,1.427,1.4323,3.69,1.0,0.9498,0.6269,0.792,1.0,0.6907,1.0405,3.8081,3.9903,1.0,6.9689,5.0999
bs030,N,bs030_N_N_0.lm3,0.3359,1.56,1.3616,2.0356,1.0635,1.157,1.6404,1.0504,1.0647,3.0246,1.0,0.6249,0.5029,0.5119,1.0,0.7408,0.7095,2.8119,2.3045,1.0,3.1033,4.09
bs031,N,bs031_N_N_0.lm3,0.3655,1.4536,1.1467,1.7278,1.0297,0.9778,1.333,0.8926,0.9762,2.7876,1.0,0.4701,0.4484,0.3938,1.0,0.6295,0.6559,8.1401,3.6722,1.0,7.1303,3.5977
bs032,N,bs032_N_N_0.lm3,0.4543,1.6374,1.3422,1.837,1.0308,1.0098,1.176,0.8315,0.8009,2.5888,1.0,0.2967,0.4905,0.3446,1.0,0.6188,0.7689,2.3117,1.301,1.0,0.7204,3.5195
bs033,N,bs033_N_N_0.lm3,0.469,1.5091,1.27,1.7552,0.8171,0.9489,1.2598,0.691,0.754,2.4094,1.0,0.2555,0.4349,0.4014,1.0,0.6248,0.6998,1.9963,0.6909,1.0,0.1729,3.4164
bs033,N,bs033_N_N_1.lm3,0.4141,1.5774,1.39,1.9373,0.9368,1.047,1.3674,0.8387,0.8093,2.6065,1.0,0.3387,0.4578,0.435,1.0,0.5812,0.8305,2.0123,1.0209,1.0,2.2579,3.6432
