identity,expression,filename,dist_ensx_se,dist_ensx_prn,dist_se_prn,dist_se_ls,dist_prn_ls,dist_alL_alR,dist_cheilion_sx_cheilion_dx,dist_ensx_exsx,dist_ensdx_exdx,dist_exsx_exdx,dist_ensx_ensdx,area_ensx_exsx_exdx,area_prn_alL_alR,area_cheilion_sx_cheilion_dx_ls,area_ensx_ensdx_prn,area_se_prn_alL,area_se_prn_alR,volume_ensx_prn_alL_alR,volume_ensx_exsx_exdx_prn,volume_ensx_ensdx_se_prn,volume_exsx_exdx_alL_alR,facial_area,mean_R,mean_G,mean_B,std_R,std_G,std_B,skew_R,skew_G,skew_B,entropy_R,entropy_G,entropy_B,mean_H,mean_S,mean_V,lbp_mean,lbp_std,lbp_entropy
bs000,N,bs000_N_N_0.lm3,0.7055,1.5689,0.9211,1.6894,1.1097,1.1636,1.6939,1.0948,1.088,3.1083,1.0,0.5983,0.5654,0.749,1.0,0.4665,0.6328,3.806,1.924,1.0,3.6012,4.012,0.8010149089108144,0.4855503493822306,0.2873957675220163,0.4583894473152612,0.2214175624719448,0.1365900415495432,0.0185279754273509,0.0111916777488339,0.0068470120539925,0.5261682659272591,0.3852126332754269,0.3265041947367129,0.0986373430431601,0.9190925916584912,0.8010205601791515,2.775557561562892e-17,0.0359955541487009,0.9696474127119714
bs000,N,bs000_N_N_1.lm3,0.6468,1.5936,0.9954,1.7323,1.0955,1.1625,1.6958,1.0592,0.9956,3.0176,1.0,0.3979,0.6189,0.7003,1.0,0.5503,0.6971,4.9484,1.5273,1.0,4.254,3.9645,0.8176365738687067,0.4921352115172199,0.2950258176249156,0.4881991075391222,0.2383800503826143,0.1497736515302692,0.0266666237294926,0.017314355853247,0.0078106426278898,0.5732470082224097,0.4182256151478194,0.3450845952018115,0.0827160067926038,0.9206265121696812,0.8176366539001937,2.775557561562892e-17,0.0743091191640727,0.9322782557685444
bs000,N,bs000_N_N_0.lm3,0.7055,1.5689,0.9211,1.6894,1.1097,1.1636,1.6939,1.0948,1.088,3.1083,1.0,0.5983,0.5654,0.749,1.0,0.4665,0.6328,3.806,1.924,1.0,3.6012,4.012,0.8010149089108144,0.4855503493822306,0.2873957675220163,0.4583894473152612,0.2214175624719448,0.1365900415495432,0.0185279754273509,0.0111916777488339,0.0068470120539925,0.5261682659272591,0.3852126332754269,0.3265041947367129,0.0986373430431601,0.9190925916584912,0.8010205601791515,2.775557561562892e-17,0.0359955541487009,0.9696474127119714
bs000,N,bs000_N_N_0.lm3,0.7055,1.5689,0.9211,1.6894,1.1097,1.1636,1.6939,1.0948,1.088,3.1083,1.0,0.5983,0.5654,0.749,1.0,0.4665,0.6328,3.806,1.924,1.0,3.6012,4.012,0.8010149089108144,0.4855503493822306,0.2873957675220163,0.4583894473152612,0.2214175624719448,0.1365900415495432,0.0185279754273509,0.0111916777488339,0.0068470120539925,0.5261682659272591,0.3852126332754269,0.3265041947367129,0.0986373430431601,0.9190925916584912,0.8010205601791515,2.775557561562892e-17,0.0359955541487009,0.9696474127119714
bs001,N,bs001_N_N_0.lm3,0.8088,1.6022,0.8785,1.5429,0.9336,1.0395,1.5364,0.8888,0.979,2.8405,1.0,0.0787,0.4527,0.5343,1.0,0.4428,0.4852,2.7006,0.2851,1.0,1.6809,2.9937,0.966730891020067,0.7383320980844783,0.5023385597855825,0.5436473164375953,0.4675556100613753,0.3860406436985355,0.0812889118027245,0.1682852545200625,0.2186345378813796,0.7316678512999495,0.7042144348351931,0.6455147856242782,0.2447801141063461,0.7743080891563121,0.9667435328747924,4.163336342344337e-17,0.6927045365050306,0.5130620095099268
bs001,N,bs001_N_N_0.lm3,0.8088,1.6022,0.8785,1.5429,0.9336,1.0395,1.5364,0.8888,0.979,2.8405,1.0,0.0787,0.4527,0.5343,1.0,0.4428,0.4852,2.7006,0.2851,1.0,1.6809,2.9937,0.966730891020067,0.7383320980844783,0.5023385597855825,0.5436473164375953,0.4675556100613753,0.3860406436985355,0.0812889118027245,0.1682852545200625,0.2186345378813796,0.7316678512999495,0.7042144348351931,0.6455147856242782,0.2447801141063461,0.7743080891563121,0.9667435328747924,4.163336342344337e-17,0.6927045365050306,0.5130620095099268
bs001,N,bs001_N_N_0.lm3,0.8088,1.6022,0.8785,1.5429,0.9336,1.0395,1.5364,0.8888,0.979,2.8405,1.0,0.0787,0.4527,0.5343,1.0,0.4428,0.4852,2.7006,0.2851,1.0,1.6809,2.9937,0.966730891020067,0.7383320980844783,0.5023385597855825,0.5436473164375953,0.4675556100613753,0.3860406436985355,0.0812889118027245,0.1682852545200625,0.2186345378813796,0.7316678512999495,0.7042144348351931,0.6455147856242782,0.2447801141063461,0.7743080891563121,0.9667435328747924,4.163336342344337e-17,0.6927045365050306,0.5130620095099268
bs001,N,bs001_N_N_0.lm3,0.8088,1.6022,0.8785,1.5429,0.9336,1.0395,1.5364,0.8888,0.979,2.8405,1.0,0.0787,0.4527,0.5343,1.0,0.4428,0.4852,2.7006,0.2851,1.0,1.6809,2.9937,0.966730891020067,0.7383320980844783,0.5023385597855825,0.5436473164375953,0.4675556100613753,0.3860406436985355,0.0812889118027245,0.1682852545200625,0.2186345378813796,0.7316678512999495,0.7042144348351931,0.6455147856242782,0.2447801141063461,0.7743080891563121,0.9667435328747924,4.163336342344337e-17,0.6927045365050306,0.5130620095099268
bs002,N,bs002_N_N_0.lm3,0.9383,1.8816,0.994,1.8437,1.2873,1.0953,1.5763,1.0503,1.0853,3.0587,1.0,0.4379,0.6198,0.4956,1.0,0.4812,0.6095,3.4566,2.5468,1.0,0.2094,3.644,0.5733226274495679,0.3732018752476496,0.223374144767243,0.3745535007108498,0.2907441079740106,0.2116274354206321,0.1543780885951533,0.2718420648151605,0.2718099693812945,0.6238131263572799,0.4930694496184893,0.4280306432738272,0.0040241598803119,0.903594009152062,0.5733213537923992,2.775557561562892e-17,0.2459916995892959,0.7299786478524908
bs002,N,bs002_N_N_0.lm3,0.9383,1.8816,0.994,1.8437,1.2873,1.0953,1.5763,1.0503,1.0853,3.0587,1.0,0.4379,0.6198,0.4956,1.0,0.4812,0.6095,3.4566,2.5468,1.0,0.2094,3.644,0.5733226274495679,0.3732018752476496,0.223374144767243,0.3745535007108498,0.2907441079740106,0.2116274354206321,0.1543780885951533,0.2718420648151605,0.2718099693812945,0.6238131263572799,0.4930694496184893,0.4280306432738272,0.0040241598803119,0.903594009152062,0.5733213537923992,2.775557561562892e-17,0.2459916995892959,0.7299786478524908
