identity,expression,filename,dist_ensx_se,dist_ensx_prn,dist_se_prn,dist_se_ls,dist_prn_ls,dist_alL_alR,dist_cheilion_sx_cheilion_dx,dist_ensx_exsx,dist_ensdx_exdx,dist_exsx_exdx,dist_ensx_ensdx,area_ensx_exsx_exdx,area_prn_alL_alR,area_cheilion_sx_cheilion_dx_ls,area_ensx_ensdx_prn,area_se_prn_alL,area_se_prn_alR,volume_ensx_prn_alL_alR,volume_ensx_exsx_exdx_prn,volume_ensx_ensdx_se_prn,volume_exsx_exdx_alL_alR,facial_area,mean_R,mean_G,mean_B,std_R,std_G,std_B,skew_R,skew_G,skew_B,entropy_R,entropy_G,entropy_B,mean_H,mean_S,mean_V,lbp_mean,lbp_std,lbp_entropy
bs000,N,bs000_N_N_0.lm3,0.7055,1.5689,0.9211,1.6894,1.1097,1.1636,1.6939,1.0948,1.088,3.1083,1.0,0.5983,0.5654,0.749,1.0,0.4665,0.6328,3.806,1.924,1.0,3.6012,4.012,0.8010149089108144,0.4855503493822306,0.2873957675220163,0.4583894473152612,0.22141756247194488,0.1365900415495432,0.01852797542735099,0.011191677748833978,0.006847012053992518,0.5261682659272591,0.3852126332754269,0.3265041947367129,0.09863734304316019,0.9190925916584911,0.8010205601791515,2.7755575615628914e-17,0.035995554148700926,0.9696474127119714
bs000,N,bs000_N_N_1.lm3,0.6468,1.5936,0.9954,1.7323,1.0955,1.1625,1.6958,1.0592,0.9956,3.0176,1.0,0.3979,0.6189,0.7003,1.0,0.5503,0.6971,4.9484,1.5273,1.0,4.254,3.9645,0.8176365738687067,0.4921352115172199,0.2950258176249156,0.4881991075391222,0.23838005038261434,0.14977365153026925,0.02666662372949266,0.017314355853247004,0.0078106426278898855,0.5732470082224097,0.4182256151478194,0.34508459520181156,0.08271600679260382,0.9206265121696813,0.8176366539001937,2.7755575615628914e-17,0.07430911916407279,0.9322782557685443
bs001,N,bs001_N_N_0.lm3,0.8088,1.6022,0.8785,1.5429,0.9336,1.0395,1.5364,0.8888,0.979,2.8405,1.0,0.0787,0.4527,0.5343,1.0,0.4428,0.4852,2.7006,0.2851,1.0,1.6809,2.9937,0.966730891020067,0.7383320980844783,0.5023385597855825,0.5436473164375953,0.46755561006137536,0.3860406436985355,0.08128891180272452,0.16828525452006252,0.21863453788137965,0.7316678512999495,0.7042144348351931,0.6455147856242782,0.24478011410634615,0.7743080891563121,0.9667435328747925,4.163336342344337e-17,0.6927045365050306,0.5130620095099268
bs002,N,bs002_N_N_0.lm3,0.9383,1.8816,0.994,1.8437,1.2873,1.0953,1.5763,1.0503,1.0853,3.0587,1.0,0.4379,0.6198,0.4956,1.0,0.4812,0.6095,3.4566,2.5468,1.0,0.2094,3.644,0.5733226274495679,0.37320187524764964,0.223374144767243,0.3745535007108498,0.2907441079740106,0.2116274354206321,0.15437808859515334,0.27184206481516054,0.27180996938129454,0.6238131263572799,0.4930694496184893,0.4280306432738272,0.004024159880311906,0.903594009152062,0.5733213537923992,2.7755575615628914e-17,0.2459916995892959,0.7299786478524908
bs003,N,bs003_N_N_0.lm3,0.6964,1.4654,0.8359,1.53,0.9978,1.1181,1.5641,0.9943,1.0266,2.9678,1.0,0.5244,0.5739,0.7612,1.0,0.4415,0.5951,3.1802,1.0645,1.0,2.458,3.8961,0.8190211372995283,0.5782175922074635,0.3125651270493431,0.4069558099904793,0.3946506767788003,0.26384275473056973,0.10426943262423544,0.24372769091917762,0.27576904922944667,0.6094522316426381,0.5543943121638439,0.46054181214808176,0.042333397669720274,0.9370967881484329,0.8190196137032842,1.3877787807814457e-17,0.41693212581809025,0.5457847473669091
bs004,N,bs004_N_N_0.lm3,0.8785,1.7586,0.9273,1.5903,1.018,1.0233,1.487,1.051,1.0023,2.9291,1.0,0.6097,0.4264,0.519,1.0,0.4424,0.4531,3.1429,4.359,1.0,2.0508,3.4506,0.5727686159250714,0.38575245482166115,0.22382667942068385,0.4352924475239518,0.32718874676488674,0.22035709454305544,0.1673599640944278,0.2562755516160243,0.2655008587897686,0.6965339295262223,0.5454648404294731,0.43806452117098504,0.02039556376588103,0.890538373879386,0.5727672586268687,2.7755575615628914e-17,0.20482157463041606,0.8073676094634266
bs005,N,bs005_N_N_0.lm3,0.5674,1.49,1.0705,1.7548,1.07,1.0446,1.4016,0.8039,0.787,2.5168,1.0,0.4297,0.4973,0.5269,1.0,0.6435,0.5931,2.3848,1.4528,1.0,1.4865,3.6905,0.8083045188662582,0.5404366797175726,0.3127272584769791,0.25228056860117243,0.32111057944612753,0.23099829449391776,0.22376595939084626,0.40161677519711414,0.4202762539998304,0.5480704693011149,0.4522361846624263,0.36319713871157067,0.01246841551295591,0.9444746942201359,0.8083030134600099,2.7755575615628914e-17,0.07449678058299458,0.9581256116336547
bs005,N,bs005_N_N_1.lm3,0.596,1.4302,0.8948,1.7334,1.2315,1.1122,1.3948,0.8265,0.7582,2.5656,1.0,0.2482,0.6279,0.5825,1.0,0.6038,0.56,4.2939,1.2357,1.0,3.7361,3.6224,0.7711319303958394,0.4737166360199811,0.24093630119668236,0.37938122058730617,0.1801791837938077,0.08958488030530878,0.019905100766596573,0.02327459182406111,0.03516231024281748,0.5382995007155063,0.41221411368629246,0.3138842467253302,0.07355447356647621,0.9672824204104524,0.7711307242569342,4.163336342344337e-17,0.11456042663254351,0.8775584263548595
bs006,N,bs006_N_N_0.lm3,0.7498,1.6098,0.9682,1.7511,1.0626,1.1667,1.7107,0.9826,1.0096,2.9389,1.0,0.4689,0.4097,0.5937,1.0,0.464,0.4995,1.8324,1.3562,1.0,0.1041,3.4358,0.7850489798385419,0.5328863001011077,0.30885877022358005,0.3070365335289311,0.21969406431561156,0.1432901334779764,0.06794001838783603,0.21141911909569816,0.27551917346135324,0.5425173563789945,0.3771340267501322,0.2878237141708011,0.07299496269097477,0.9038885516656558,0.7850475770268707,2.7755575615628914e-17,0.1754391222117695,0.792151140581808
bs007,N,bs007_N_N_0.lm3,0.6478,1.6136,1.0903,1.862,1.046,1.1678,1.538,0.9833,0.9501,2.8583,1.0,0.4578,0.4451,0.5885,1.0,0.5314,0.5647,1.7497,1.4299,1.0,0.7038,3.5875,0.6904634491431353,0.40188916298961413,0.2444352150467391,0.213267537909969,0.19848988340570706,0.15292384480304497,0.08761903315834334,0.33404868346494276,0.351779163887912,0.45357126009166837,0.34123156725260806,0.3116806547033826,0.030438967063268152,0.9424259412855773,0.6904625292684695,2.7755575615628914e-17,0.13052648962962898,0.8407370814824091
